# SCFT convergence log (3D GPU)
# Columns: iter  err  free_energy
100	3.59000000e-02	4815.7800000000
200	2.61000000e-02	4815.5500000000
300	1.90000000e-02	4815.4200000000
400	1.38000000e-02	4815.3400000000
500	1.01000000e-02	4815.3100000000
600	7.39000000e-05	4815.2600000000
700	2.57000000e-05	4815.2700000000
800	1.29000000e-05	4815.2700000000
900	8.23000000e-06	4815.2700000000
1000	5.44000000e-06	4815.2700000000
1100	3.65000000e-06	4815.2700000000
1200	2.79000000e-06	4815.2700000000
1300	2.06000000e-06	4815.2700000000
1400	1.71000000e-06	4815.2700000000
1500	1.20000000e-06	4815.2700000000
1569	9.96000000e-07	4815.2700000000
