# Backend: CUDA  Float64  GPU: NVIDIA GeForce RTX 3080 Ti
# VRAM available: 10.8 GB
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=8  samples=5  evals=1  anderson_start=0  tol=0
# System: monomeric solvent  kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,0.854150,0.237430
1D,128,128,1.137025,0.296758
1D,256,256,1.936012,0.454930
1D,512,512,2.489900,0.375441
1D,1024,1024,2.540138,0.497285
2D,32,1024,1.803425,0.227728
2D,64,4096,3.124262,0.745328
2D,128,16384,1.970662,0.295776
2D,256,65536,2.908737,0.877188
2D,512,262144,5.968962,1.173646
3D,16,4096,1.646350,0.150665
3D,32,32768,2.013350,0.231499
3D,64,262144,3.122762,4.478562
3D,128,2097152,13.163175,3.511335
