# Backend: CPU  Float64  Threads: 4
# CPU: Apple M4 Max
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=100  samples=5  evals=1  anderson_start=0  tol=0
# System: monomeric solvent  kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,0.001035,0.000112
1D,128,128,0.001377,0.000191
1D,256,256,0.002245,0.000296
1D,512,512,0.003419,0.000287
1D,1024,1024,0.006463,0.000403
1D,2048,2048,0.012372,0.000533
1D,4096,4096,0.023610,0.001985
2D,32,1024,0.007377,0.000296
2D,64,4096,0.026027,0.000922
2D,128,16384,0.098890,0.019745
2D,256,65536,0.411626,0.158351
2D,512,262144,2.002743,0.032607
3D,16,4096,0.027817,0.000604
3D,32,32768,0.201727,0.032579
3D,64,262144,2.164839,0.077715
3D,128,2097152,13.691103,0.063078
