# Backend: CPU  Float64  Threads: 4
# CPU: Intel(R) Core(TM) i9-10850K CPU @ 3.60GHz
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=8  samples=5  evals=1  anderson_start=0  tol=0
# System: diblock copolymer  N=30 N_A=15 chi=1.0 kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,0.295287,0.029382
1D,128,128,0.363438,0.028428
1D,256,256,2.143825,0.218044
1D,512,512,2.314175,0.091030
1D,1024,1024,2.825225,0.208620
2D,32,1024,2.800463,0.258404
2D,64,4096,6.347688,0.135613
2D,128,16384,14.047289,0.452239
2D,256,65536,43.696203,4.471222
2D,512,262144,176.950116,8.356338
3D,16,4096,4.143900,0.123486
3D,32,32768,28.549886,2.096783
3D,64,262144,175.709836,17.948361
3D,128,2097152,1874.630457,NaN
