# Backend: CUDA  Float32  GPU: NVIDIA GeForce RTX 3080 Ti
# VRAM available: 10.8 GB
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=100  samples=5  evals=1  anderson_start=0  tol=0
# System: monomeric solvent  kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,0.457402,0.020761
1D,128,128,0.880295,0.186399
1D,256,256,0.733876,0.164230
1D,512,512,0.681244,0.055489
1D,1024,1024,0.755381,0.135768
1D,2048,2048,0.710427,0.178920
1D,4096,4096,0.704182,0.173245
2D,32,1024,0.609846,0.194639
2D,64,4096,0.941476,0.113316
2D,128,16384,0.866944,0.194669
2D,256,65536,1.335869,0.282226
2D,512,262144,1.501194,0.443938
2D,1024,1048576,2.195664,0.152921
2D,2048,4194304,7.320933,0.379680
3D,16,4096,0.563258,0.011269
3D,32,32768,1.193249,0.173888
3D,64,262144,1.519004,0.298710
3D,128,2097152,4.826749,0.623913
3D,160,4096000,7.463713,1.231979
