# Backend: CUDA  Float64  GPU: NVIDIA GeForce RTX 3080 Ti
# VRAM available: 10.8 GB
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=8  samples=5  evals=1  anderson_start=0  tol=0
# System: diblock copolymer  N=30 N_A=15 chi=1.0 kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,10.970675,1.533563
1D,128,128,10.279113,3.146682
1D,256,256,10.173412,1.520445
1D,512,512,9.400125,0.695805
1D,1024,1024,8.962138,1.438296
2D,32,1024,8.890887,3.555028
2D,64,4096,10.898687,2.314679
2D,128,16384,11.290950,2.636046
2D,256,65536,12.827538,4.154337
2D,512,262144,18.313537,1.688593
3D,16,4096,13.666375,2.638829
3D,32,32768,14.330925,4.539492
3D,64,262144,18.319262,1.339077
3D,128,2097152,98.839574,11.861386
