# Backend: Metal  Float32  GPU: Apple M4 Max
# VRAM available: 27.0 GB
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=100  samples=5  evals=1  anderson_start=0  tol=0
# System: diblock copolymer  N=30 N_A=15 chi=1.0 kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,9.928764,0.322419
1D,128,128,9.483995,0.231604
1D,256,256,9.320928,0.226073
1D,512,512,9.460221,0.103641
1D,1024,1024,9.457202,0.053869
1D,2048,2048,9.482073,0.344111
1D,4096,4096,10.447478,0.191066
2D,32,1024,10.638393,0.164989
2D,64,4096,10.603955,0.183682
2D,128,16384,10.814736,0.202622
2D,256,65536,10.177422,0.343930
2D,512,262144,11.099537,1.500735
2D,1024,1048576,24.515893,0.732698
2D,2048,4194304,115.376668,NaN
3D,16,4096,11.016641,0.095453
3D,32,32768,10.235566,0.299643
3D,64,262144,10.766478,1.006139
3D,128,2097152,69.498059,NaN
3D,160,4096000,289.971443,NaN
