# Backend: CUDA  Float64  GPU: NVIDIA GeForce RTX 3080 Ti
# VRAM available: 10.8 GB
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=100  samples=5  evals=1  anderson_start=0  tol=0
# System: monomeric solvent  kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,0.511874,0.009660
1D,128,128,0.652035,0.305464
1D,256,256,0.858309,0.126645
1D,512,512,0.688086,0.152243
1D,1024,1024,0.500638,0.215765
1D,2048,2048,0.864193,0.104167
1D,4096,4096,0.842435,0.094143
2D,32,1024,0.827448,0.081446
2D,64,4096,0.777338,0.077317
2D,128,16384,1.046657,0.169195
2D,256,65536,1.101803,0.141417
2D,512,262144,2.206972,0.471268
2D,1024,1048576,3.910039,0.395109
2D,2048,4194304,13.873128,1.997779
3D,16,4096,0.678971,0.037650
3D,32,32768,1.068959,0.190337
3D,64,262144,1.937308,0.482299
3D,128,2097152,7.774462,0.216754
3D,160,4096000,12.733202,1.873988
