# Backend: Metal  Float32  GPU: Apple M4 Max
# VRAM available: 27.0 GB
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=100  samples=5  evals=1  anderson_start=0  tol=0
# System: monomeric solvent  kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,0.742126,0.037944
1D,128,128,0.746732,0.041701
1D,256,256,0.751724,0.030460
1D,512,512,0.753410,0.033886
1D,1024,1024,0.757236,0.047124
1D,2048,2048,0.751547,0.048581
1D,4096,4096,0.751273,0.045580
2D,32,1024,0.744250,0.049256
2D,64,4096,0.758944,0.041063
2D,128,16384,0.808625,0.057298
2D,256,65536,0.812187,0.043813
2D,512,262144,0.859696,0.073124
2D,1024,1048576,2.142828,0.417870
2D,2048,4194304,5.291149,0.824294
3D,16,4096,0.760091,0.054436
3D,32,32768,0.818100,0.057057
3D,64,262144,0.880030,0.059692
3D,128,2097152,3.145380,0.574515
3D,160,4096000,12.141300,0.682067
