# Backend: CPU  Float64  Threads: 4
# CPU: Intel(R) Core(TM) i9-10850K CPU @ 3.60GHz
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=8  samples=5  evals=1  anderson_start=0  tol=0
# System: monomeric solvent  kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,0.007088,0.005746
1D,128,128,0.008750,0.003958
1D,256,256,0.021413,0.006539
1D,512,512,0.034450,0.007019
1D,1024,1024,0.046837,0.007748
2D,32,1024,0.032925,0.005306
2D,64,4096,0.098312,0.014701
2D,128,16384,0.241338,0.047541
2D,256,65536,0.967100,0.132052
2D,512,262144,4.882464,5.438022
3D,16,4096,0.088700,0.005769
3D,32,32768,0.491500,0.067244
3D,64,262144,4.431126,1.825903
3D,128,2097152,78.822794,12.060250
