# Backend: CUDA  Float32  GPU: NVIDIA GeForce RTX 3080 Ti
# VRAM available: 10.8 GB
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=8  samples=5  evals=1  anderson_start=0  tol=0
# System: monomeric solvent  kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,0.676887,0.108034
1D,128,128,0.920500,0.206791
1D,256,256,0.896663,0.240903
1D,512,512,1.321913,0.154666
1D,1024,1024,1.665550,0.991969
2D,32,1024,2.435837,0.680452
2D,64,4096,2.343812,0.674923
2D,128,16384,2.900812,0.458529
2D,256,65536,3.455400,0.803432
2D,512,262144,3.232150,0.816072
3D,16,4096,2.571200,0.562176
3D,32,32768,2.916612,0.720613
3D,64,262144,2.179850,4.529890
3D,128,2097152,8.446225,2.458817
