# Backend: CUDA  Float64  GPU: NVIDIA GeForce RTX 3080 Ti
# VRAM available: 10.8 GB
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=100  samples=5  evals=1  anderson_start=0  tol=0
# System: diblock copolymer  N=30 N_A=15 chi=1.0 kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,9.244878,1.161691
1D,128,128,10.104375,1.819040
1D,256,256,8.450026,1.636057
1D,512,512,8.449070,0.827276
1D,1024,1024,7.204973,0.979032
1D,2048,2048,7.479469,0.953795
1D,4096,4096,10.394024,0.704723
2D,32,1024,10.303381,0.992541
2D,64,4096,9.929603,1.216964
2D,128,16384,9.950867,1.821715
2D,256,65536,12.373941,0.792797
2D,512,262144,16.443939,1.053978
2D,1024,1048576,57.960871,NaN
2D,2048,4194304,212.395122,NaN
3D,16,4096,12.245792,1.778465
3D,32,32768,13.592156,1.398132
3D,64,262144,17.312545,1.634715
3D,128,2097152,95.505566,NaN
3D,160,4096000,210.031299,NaN
