# Backend: CUDA  Float32  GPU: NVIDIA GeForce RTX 3080 Ti
# VRAM available: 10.8 GB
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=8  samples=5  evals=1  anderson_start=0  tol=0
# System: diblock copolymer  N=30 N_A=15 chi=1.0 kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,10.186438,1.166406
1D,128,128,11.724063,2.230417
1D,256,256,10.526025,2.240643
1D,512,512,11.371075,0.893977
1D,1024,1024,9.781150,1.157335
2D,32,1024,12.496538,1.902380
2D,64,4096,11.882125,0.416814
2D,128,16384,12.087362,0.986051
2D,256,65536,13.550987,1.774809
2D,512,262144,13.832187,1.064531
3D,16,4096,12.935325,2.408834
3D,32,32768,11.090250,5.263750
3D,64,262144,17.223425,7.621336
3D,128,2097152,39.472288,8.049201
