# Backend: CPU  Float64  Threads: 4
# CPU: Apple M4 Max
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=100  samples=5  evals=1  anderson_start=0  tol=0
# System: diblock copolymer  N=30 N_A=15 chi=1.0 kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,0.899591,0.005958
1D,128,128,0.907394,0.014147
1D,256,256,2.757863,0.024324
1D,512,512,0.980137,0.011510
1D,1024,1024,1.081697,0.009412
1D,2048,2048,3.011573,0.013234
1D,4096,4096,3.428202,0.028521
2D,32,1024,3.640178,0.050604
2D,64,4096,4.347945,0.019341
2D,128,16384,7.461227,0.168740
2D,256,65536,15.492567,0.206575
2D,512,262144,49.790267,0.085927
3D,16,4096,4.208426,0.016461
3D,32,32768,9.958736,0.216031
3D,64,262144,48.517424,0.140030
3D,128,2097152,442.834547,NaN
