# Backend: CUDA  Float32  GPU: NVIDIA GeForce RTX 3080 Ti
# VRAM available: 10.8 GB
# N_seg=30  N_A=15  chi=1.0  kappa=20.0  rho0=1.0  b=1.0  L=10.0
# N_STEPS=100  samples=5  evals=1  anderson_start=0  tol=0
# System: diblock copolymer  N=30 N_A=15 chi=1.0 kappa=20.0 rho0=1.0
# Columns: dim,ng_per_side,n_grid_pts,t_median_ms,t_std_ms
1D,64,64,8.865626,1.106616
1D,128,128,8.822180,0.754198
1D,256,256,7.843569,1.550957
1D,512,512,8.049370,1.255276
1D,1024,1024,8.797854,0.605575
1D,2048,2048,9.974828,1.287737
1D,4096,4096,8.010320,1.221204
2D,32,1024,11.688534,0.249518
2D,64,4096,9.543889,0.561225
2D,128,16384,10.399453,1.191618
2D,256,65536,11.393783,1.591225
2D,512,262144,10.440548,1.635338
2D,1024,1048576,16.866796,1.288706
2D,2048,4194304,49.241252,0.661860
3D,16,4096,11.716662,1.463285
3D,32,32768,12.097706,1.484971
3D,64,262144,18.062054,5.300886
3D,128,2097152,33.620596,1.370272
3D,160,4096000,57.964423,NaN
